Sr No,businessId,startBucket,endBucket,slope,sentimentAnalysisScore,accuracyScore,confidenceScore
48,XHTUbyhQnwzP1FDXPBk84A,2015-Q3,2015-Q4,-3.6363636363636367,-83.33333333333334,0.9,75.0
49,eHD1iu4B5yd_wj_uiSapzQ,2014-Q1,2015-Q3,2.0,-90.9090909090909,0.9,81.8181818182
50,Zc2IwSzGY63zkyhfNrr7HA,2016-Q2,2016-Q3,-2.0,-86.66666666666667,0.9,78.0
51,LRpoyZt-3PbCEEbU7nkvwQ,2016-Q2,2016-Q3,2.2666666666666666,-90.0,0.9,81.0
52,YqcPBiZMeCjZFlJlA28zwQ,2016-Q2,2016-Q3,-2.454545454545454,-83.33333333333334,0.9,75.0
53,KHtaNwoAG76qK6BIYGYJvQ,2016-Q2,2016-Q3,-2.1818181818181817,-91.66666666666666,0.9,82.5
54,leewd6-3ZCVAPr-RVtcVKA,2016-Q1,2016-Q2,-2.45,-85.71428571428571,0.9,77.1428571429
55,JCyuOGUzMrXxJOj0pkoRMg,2016-Q2,2016-Q3,2.75,-92.3076923076923,0.9,83.0769230769
56,Y1sSdaeuicOzR87DIREinw,2014-Q3,2014-Q4,2.2,-90.9090909090909,0.9,81.8181818182
57,CNxkXXv7NVkoLWjU7t4gwA,2016-Q2,2016-Q3,2.2666666666666666,-87.5,0.9,78.75
58,qY9IzXAY_NM5nf697T02RQ,2016-Q2,2016-Q3,-2.4,-84.61538461538461,0.9,76.1538461538
59,rz5rKbTQpKVHcjGeCbL10A,2015-Q3,2015-Q4,-2.2976190476190474,-84.21052631578947,0.9,75.7894736842
60,0BpMvu5B9fY-KEbOuxLtFQ,2013-Q3,2013-Q4,2.6153846153846154,-87.5,0.9,78.75
61,4_yqGLhfQJ-mRyH7i2-KNQ,2016-Q2,2016-Q3,2.35,-83.33333333333334,0.9,75.0
62,Iet7RbjzuVoXX907QfHIOw,2016-Q2,2016-Q3,-2.230769230769231,-100.0,0.9,90.0
63,vteLW_uV_3ycbgKYXRMevA,2016-Q2,2016-Q3,2.090909090909091,-91.66666666666666,0.9,82.5
64,DfNoB509sMpMbu-qvsgvrA,2016-Q2,2016-Q3,2.0,-84.61538461538461,0.9,76.1538461538
65,9e42a9MVYBqJOfArmQoOIA,2013-Q3,2013-Q4,-2.545454545454545,-86.36363636363636,0.9,77.7272727273
66,n_QAA70NrnGIsGjog3HF_Q,2016-Q2,2016-Q3,-2.888888888888889,-85.71428571428571,0.9,77.1428571429
67,g2VN-L5UPk5haGVeSe1LEg,2012-Q3,2012-Q4,2.0,-91.66666666666666,0.9,82.5
68,vnla3T2fUaskp5L4xKtqsw,2016-Q1,2016-Q2,-2.0,-88.23529411764706,0.9,79.4117647059
